EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-0.20E+00,-15.11E+00,+14.92E+00,+2.442E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-0.47E+00,-14.94E+00,+15.05E+00,+2.373E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.09E+00,+0.05E+00,+0.00E+00,-0.75E+00,-14.79E+00,+15.15E+00,+2.297E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-1.04E+00,-14.62E+00,+15.26E+00,+2.220E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-1.31E+00,-14.44E+00,+15.37E+00,+2.152E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-1.60E+00,-14.27E+00,+15.47E+00,+2.075E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-1.89E+00,-14.09E+00,+15.58E+00,+1.991E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-2.17E+00,-13.89E+00,+15.67E+00,+1.915E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-2.44E+00,-13.70E+00,+15.76E+00,+1.839E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-2.73E+00,-13.51E+00,+15.86E+00,+1.763E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-3.01E+00,-13.32E+00,+15.93E+00,+1.686E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-3.27E+00,-13.14E+00,+16.01E+00,+1.610E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-3.54E+00,-12.94E+00,+16.08E+00,+1.534E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-3.80E+00,-12.74E+00,+16.16E+00,+1.457E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.06E+00,-12.56E+00,+16.22E+00,+1.381E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.32E+00,-12.36E+00,+16.30E+00,+1.312E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.09E+00,+0.05E+00,+0.00E+00,-4.58E+00,-12.16E+00,+16.36E+00,+1.236E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.84E+00,-11.96E+00,+16.40E+00,+1.160E+00
2,19/2/2026,17:46:33.367,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-5.08E+00,-11.77E+00,+16.45E+00,+1.083E+00
2,19/2/2026,17:46:33.367,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-5.33E+00,-11.55E+00,+16.51E+00,+1.007E+00
2,19/2/2026,17:46:33.368,-0.09E+00,-0.09E+00,+0.05E+00,+0.00E+00,-5.59E+00,-11.35E+00,+16.54E+00,+0.931E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-5.83E+00,-11.14E+00,+16.59E+00,+0.855E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-6.09E+00,-10.94E+00,+16.63E+00,+0.778E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-6.33E+00,-10.73E+00,+16.66E+00,+0.702E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-6.56E+00,-10.51E+00,+16.69E+00,+0.626E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-6.81E+00,-10.30E+00,+16.73E+00,+0.549E+00
2,19/2/2026,17:46:33.368,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.05E+00,-10.10E+00,+16.76E+00,+0.481E+00
2,19/2/2026,17:46:33.368,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.28E+00,-9.89E+00,+16.79E+00,+0.404E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.52E+00,-9.67E+00,+16.82E+00,+0.328E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.77E+00,-9.46E+00,+16.85E+00,+0.259E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,-0.05E+00,-8.00E+00,-9.25E+00,+16.86E+00,+0.183E+00
2,19/2/2026,17:46:33.368,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-8.23E+00,-9.05E+00,+16.89E+00,+0.114E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-8.45E+00,-8.82E+00,+16.91E+00,+0.038E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-8.70E+00,-8.61E+00,+16.92E+00,-0.038E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-8.93E+00,-8.38E+00,+16.94E+00,-0.114E+00
2,19/2/2026,17:46:33.368,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-9.16E+00,-8.16E+00,+16.94E+00,-0.191E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-9.40E+00,-7.94E+00,+16.95E+00,-0.267E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-9.63E+00,-7.71E+00,+16.95E+00,-0.351E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-9.87E+00,-7.46E+00,+16.95E+00,-0.420E+00
2,19/2/2026,17:46:33.368,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.12E+00,-7.23E+00,+16.97E+00,-0.496E+00
2,19/2/2026,17:46:33.369,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.35E+00,-6.99E+00,+16.97E+00,-0.580E+00
2,19/2/2026,17:46:33.369,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.59E+00,-6.76E+00,+16.97E+00,-0.656E+00
2,19/2/2026,17:46:33.369,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.83E+00,-6.52E+00,+16.97E+00,-0.740E+00
2,19/2/2026,17:46:33.369,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.05E+00,-6.29E+00,+16.95E+00,-0.816E+00
2,19/2/2026,17:46:33.369,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.29E+00,-6.04E+00,+16.95E+00,-0.893E+00
