EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.69E+00,+7.55E+00,-5.17E+00,-0.908E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.57E+00,+7.54E+00,-5.25E+00,-0.862E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.46E+00,+7.51E+00,-5.33E+00,-0.809E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.37E+00,+7.48E+00,-5.39E+00,-0.755E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.27E+00,+7.45E+00,-5.46E+00,-0.702E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.16E+00,+7.40E+00,-5.52E+00,-0.649E+00
2,03/2/2026,18:35:44.768,+0.000E+00,+0.000E+00,+0.000E+00,-0.188E+00,-1.04E+00,+7.36E+00,-5.59E+00,-0.595E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.93E+00,+7.29E+00,-5.66E+00,-0.542E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.82E+00,+7.25E+00,-5.72E+00,-0.488E+00
2,03/2/2026,18:35:44.768,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.70E+00,+7.20E+00,-5.77E+00,-0.435E+00
2,03/2/2026,18:35:44.768,-0.047E+00,+0.000E+00,+0.000E+00,-0.188E+00,-0.58E+00,+7.14E+00,-5.83E+00,-0.374E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.47E+00,+7.10E+00,-5.89E+00,-0.320E+00
2,03/2/2026,18:35:44.768,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.35E+00,+7.03E+00,-5.94E+00,-0.259E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.24E+00,+6.96E+00,-6.00E+00,-0.206E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.12E+00,+6.88E+00,-6.04E+00,-0.145E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.00E+00,+6.82E+00,-6.09E+00,-0.092E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.11E+00,+6.75E+00,-6.15E+00,-0.031E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.21E+00,+6.67E+00,-6.20E+00,+0.023E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.34E+00,+6.59E+00,-6.26E+00,+0.076E+00
2,03/2/2026,18:35:44.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.46E+00,+6.52E+00,-6.30E+00,+0.137E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.56E+00,+6.44E+00,-6.35E+00,+0.198E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.69E+00,+6.35E+00,-6.39E+00,+0.252E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.79E+00,+6.26E+00,-6.44E+00,+0.313E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.92E+00,+6.18E+00,-6.49E+00,+0.366E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.04E+00,+6.09E+00,-6.53E+00,+0.427E+00
2,03/2/2026,18:35:44.769,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.14E+00,+6.00E+00,-6.58E+00,+0.488E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.25E+00,+5.92E+00,-6.61E+00,+0.542E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.37E+00,+5.83E+00,-6.64E+00,+0.603E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.48E+00,+5.74E+00,-6.68E+00,+0.664E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.60E+00,+5.66E+00,-6.71E+00,+0.717E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.71E+00,+5.55E+00,-6.76E+00,+0.771E+00
2,03/2/2026,18:35:44.769,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.82E+00,+5.48E+00,-6.78E+00,+0.832E+00
2,03/2/2026,18:35:44.769,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.92E+00,+5.40E+00,-6.81E+00,+0.885E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.03E+00,+5.31E+00,-6.84E+00,+0.939E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+2.15E+00,+5.22E+00,-6.87E+00,+0.992E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+2.26E+00,+5.13E+00,-6.90E+00,+1.045E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.37E+00,+5.04E+00,-6.93E+00,+1.106E+00
2,03/2/2026,18:35:44.769,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.47E+00,+4.96E+00,-6.94E+00,+1.160E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.56E+00,+4.87E+00,-6.96E+00,+1.213E+00
2,03/2/2026,18:35:44.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.141E+00,+2.67E+00,+4.78E+00,-6.99E+00,+1.267E+00
2,03/2/2026,18:35:44.770,+0.000E+00,-0.047E+00,+0.000E+00,-0.141E+00,+2.78E+00,+4.68E+00,-7.00E+00,+1.320E+00
2,03/2/2026,18:35:44.770,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+2.88E+00,+4.59E+00,-7.03E+00,+1.366E+00
