EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+6.42E+00,-6.58E+00,-0.40E+00,+3.243E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+6.36E+00,-6.62E+00,-0.29E+00,+3.205E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+6.29E+00,-6.68E+00,-0.18E+00,+3.174E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+6.21E+00,-6.75E+00,-0.06E+00,+3.136E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+6.15E+00,-6.79E+00,+0.05E+00,+3.105E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+6.07E+00,-6.84E+00,+0.15E+00,+3.060E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+6.00E+00,-6.88E+00,+0.27E+00,+3.022E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.91E+00,-6.93E+00,+0.38E+00,+2.983E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.83E+00,-6.97E+00,+0.50E+00,+2.945E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.75E+00,-7.02E+00,+0.61E+00,+2.899E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,+0.000E+00,-0.141E+00,+5.66E+00,-7.05E+00,+0.73E+00,+2.861E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+5.59E+00,-7.08E+00,+0.85E+00,+2.823E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+5.49E+00,-7.13E+00,+0.96E+00,+2.785E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+5.42E+00,-7.16E+00,+1.08E+00,+2.739E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+5.34E+00,-7.19E+00,+1.21E+00,+2.701E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.25E+00,-7.23E+00,+1.33E+00,+2.663E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.17E+00,-7.26E+00,+1.43E+00,+2.625E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+5.08E+00,-7.29E+00,+1.56E+00,+2.579E+00
2,03/2/2026,18:45:43.768,-0.047E+00,-0.047E+00,-0.047E+00,-0.141E+00,+5.01E+00,-7.31E+00,+1.66E+00,+2.541E+00
2,03/2/2026,18:45:43.768,+0.000E+00,-0.047E+00,-0.047E+00,-0.141E+00,+4.91E+00,-7.34E+00,+1.79E+00,+2.495E+00
2,03/2/2026,18:45:43.769,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.82E+00,-7.37E+00,+1.89E+00,+2.457E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.75E+00,-7.40E+00,+2.00E+00,+2.411E+00
2,03/2/2026,18:45:43.769,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.67E+00,-7.43E+00,+2.11E+00,+2.365E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.58E+00,-7.45E+00,+2.21E+00,+2.327E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+4.49E+00,-7.46E+00,+2.33E+00,+2.289E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+4.41E+00,-7.48E+00,+2.44E+00,+2.243E+00
2,03/2/2026,18:45:43.769,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+4.32E+00,-7.51E+00,+2.55E+00,+2.197E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+4.23E+00,-7.52E+00,+2.66E+00,+2.152E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.15E+00,-7.54E+00,+2.76E+00,+2.106E+00
2,03/2/2026,18:45:43.769,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+4.06E+00,-7.55E+00,+2.85E+00,+2.068E+00
