EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+6.62E+00,-15.53E+00,+8.53E+00,+3.640E+00
2,19/2/2026,10:49:51.570,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+6.41E+00,-15.53E+00,+8.73E+00,+3.609E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+6.21E+00,-15.53E+00,+8.93E+00,+3.579E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+6.01E+00,-15.53E+00,+9.14E+00,+3.540E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+5.80E+00,-15.52E+00,+9.34E+00,+3.502E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+5.59E+00,-15.50E+00,+9.54E+00,+3.464E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+5.37E+00,-15.49E+00,+9.74E+00,+3.426E+00
2,19/2/2026,10:49:51.570,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+5.14E+00,-15.46E+00,+9.93E+00,+3.388E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.91E+00,-15.44E+00,+10.13E+00,+3.342E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.70E+00,-15.41E+00,+10.33E+00,+3.296E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.47E+00,-15.37E+00,+10.51E+00,+3.258E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.24E+00,-15.32E+00,+10.70E+00,+3.212E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.01E+00,-15.26E+00,+10.87E+00,+3.166E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.78E+00,-15.20E+00,+11.03E+00,+3.113E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.56E+00,-15.12E+00,+11.20E+00,+3.067E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.31E+00,-15.06E+00,+11.35E+00,+3.014E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.07E+00,-14.97E+00,+11.51E+00,+2.960E+00
2,19/2/2026,10:49:51.570,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.84E+00,-14.89E+00,+11.66E+00,+2.907E+00
