EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.76E+00,+1.50E+00,+3.48E+00,-2.388E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.78E+00,+1.57E+00,+3.42E+00,-2.396E+00
2,05/2/2026,10:25:05.363,-0.05E+00,+0.00E+00,+0.05E+00,+0.00E+00,-4.79E+00,+1.65E+00,+3.36E+00,-2.403E+00
2,05/2/2026,10:25:05.363,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,-4.81E+00,+1.72E+00,+3.30E+00,-2.411E+00
2,05/2/2026,10:25:05.363,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.82E+00,+1.80E+00,+3.24E+00,-2.419E+00
2,05/2/2026,10:25:05.363,-0.05E+00,+0.00E+00,+0.05E+00,-0.05E+00,-4.84E+00,+1.88E+00,+3.17E+00,-2.426E+00
2,05/2/2026,10:25:05.363,-0.09E+00,+0.00E+00,+0.00E+00,-0.05E+00,-4.85E+00,+1.95E+00,+3.10E+00,-2.426E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,-4.85E+00,+2.01E+00,+3.04E+00,-2.434E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-4.87E+00,+2.09E+00,+2.98E+00,-2.442E+00
2,05/2/2026,10:25:05.363,-0.09E+00,+0.00E+00,+0.05E+00,+0.00E+00,-4.88E+00,+2.15E+00,+2.91E+00,-2.442E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.88E+00,+2.23E+00,+2.85E+00,-2.449E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-4.90E+00,+2.29E+00,+2.79E+00,-2.449E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.90E+00,+2.37E+00,+2.73E+00,-2.457E+00
2,05/2/2026,10:25:05.363,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,-4.90E+00,+2.43E+00,+2.67E+00,-2.457E+00
2,05/2/2026,10:25:05.363,-0.05E+00,-0.05E+00,+0.05E+00,-0.05E+00,-4.91E+00,+2.49E+00,+2.61E+00,-2.457E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-4.91E+00,+2.55E+00,+2.53E+00,-2.465E+00
2,05/2/2026,10:25:05.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-4.91E+00,+2.62E+00,+2.49E+00,-2.465E+00
2,05/2/2026,10:25:05.363,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,-4.91E+00,+2.69E+00,+2.41E+00,-2.465E+00
