EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-12.50E+00,+13.78E+00,-1.65E+00,-6.081E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-12.33E+00,+13.86E+00,-1.89E+00,-5.997E+00
2,09/2/2026,18:35:29.174,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-12.16E+00,+13.93E+00,-2.15E+00,-5.913E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.98E+00,+14.01E+00,-2.40E+00,-5.822E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-11.81E+00,+14.09E+00,-2.64E+00,-5.730E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.64E+00,+14.15E+00,-2.88E+00,-5.646E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.46E+00,+14.22E+00,-3.13E+00,-5.562E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-11.29E+00,+14.28E+00,-3.36E+00,-5.471E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.09E+00,+0.05E+00,-0.05E+00,-11.12E+00,+14.34E+00,-3.60E+00,-5.387E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.96E+00,+14.41E+00,-3.83E+00,-5.303E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.77E+00,+14.47E+00,-4.07E+00,-5.211E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.61E+00,+14.51E+00,-4.30E+00,-5.120E+00
2,09/2/2026,18:35:29.174,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-10.42E+00,+14.57E+00,-4.52E+00,-5.036E+00
