EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,09/2/2026,18:59:31.374,-0.09E+00,-0.09E+00,+0.05E+00,+0.00E+00,-15.12E+00,+5.75E+00,+8.99E+00,-7.455E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.15E+00,+5.97E+00,+8.81E+00,-7.470E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.17E+00,+6.20E+00,+8.62E+00,-7.477E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.20E+00,+6.41E+00,+8.42E+00,-7.493E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.23E+00,+6.62E+00,+8.23E+00,-7.500E+00
2,09/2/2026,18:59:31.374,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.24E+00,+6.84E+00,+8.04E+00,-7.508E+00
2,09/2/2026,18:59:31.374,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.26E+00,+7.05E+00,+7.86E+00,-7.516E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.28E+00,+7.28E+00,+7.65E+00,-7.523E+00
2,09/2/2026,18:59:31.374,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.29E+00,+7.49E+00,+7.45E+00,-7.531E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.31E+00,+7.71E+00,+7.25E+00,-7.539E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-15.32E+00,+7.92E+00,+7.05E+00,-7.539E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-15.34E+00,+8.13E+00,+6.84E+00,-7.539E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.32E+00,+8.35E+00,+6.62E+00,-7.539E+00
2,09/2/2026,18:59:31.374,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-15.32E+00,+8.56E+00,+6.41E+00,-7.539E+00
